Unnamed: 0,warnum,disno,dyindex,statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,changes_1,changes_2,batdths,durindx,a_latitude,a_longitude,b_latitude,b_longitude,stateNameA,stateAbbA,stateNameB,stateAbbB
28,19,1528,1528.001,140,160,7,19,1851,2,3,1852,1851,1,3,1,3,1.0,500.0,800.0,,,1300.0,2,-10.3333333,-53.2,-34.9964963,-64.9672817,Brazil,BRA,Argentina,ARG
29,19,1528,1528.001,140,160,7,19,1851,2,3,1852,1852,1,3,1,3,1.0,500.0,800.0,,,1300.0,1,-10.3333333,-53.2,-34.9964963,-64.9672817,Brazil,BRA,Argentina,ARG
30,19,1528,1528.001,160,140,7,19,1851,2,3,1852,1851,3,1,3,1,3.0,800.0,500.0,,,1300.0,2,-34.9964963,-64.9672817,-10.3333333,-53.2,Argentina,ARG,Brazil,BRA
31,19,1528,1528.001,160,140,7,19,1851,2,3,1852,1852,3,1,3,1,3.0,800.0,500.0,,,1300.0,1,-34.9964963,-64.9672817,-10.3333333,-53.2,Argentina,ARG,Brazil,BRA
32,22,57,57.00100000000001,200,365,4,21,1854,2,1,1856,1854,2,3,1,3,1.0,22000.0,100000.0,,,122000.0,1,54.70235450000001,-3.2765753,64.6863136,97.7453061,United Kingdom,UKG,Russia,RUS
33,22,57,57.00100000000001,200,365,4,21,1854,2,1,1856,1855,2,3,1,3,1.0,22000.0,100000.0,,,122000.0,3,54.70235450000001,-3.2765753,64.6863136,97.7453061,United Kingdom,UKG,Russia,RUS
34,22,57,57.00100000000001,200,365,4,21,1854,2,1,1856,1856,2,3,1,3,1.0,22000.0,100000.0,,,122000.0,2,54.70235450000001,-3.2765753,64.6863136,97.7453061,United Kingdom,UKG,Russia,RUS
35,22,57,57.00100000000001,365,200,4,21,1854,2,1,1856,1854,3,2,3,1,3.0,100000.0,22000.0,,,122000.0,1,64.6863136,97.7453061,54.70235450000001,-3.2765753,Russia,RUS,United Kingdom,UKG
36,22,57,57.00100000000001,365,200,4,21,1854,2,1,1856,1855,3,2,3,1,3.0,100000.0,22000.0,,,122000.0,2,64.6863136,97.7453061,54.70235450000001,-3.2765753,Russia,RUS,United Kingdom,UKG
37,22,57,57.00100000000001,365,200,4,21,1854,2,1,1856,1856,3,2,3,1,3.0,100000.0,22000.0,,,122000.0,3,64.6863136,97.7453061,54.70235450000001,-3.2765753,Russia,RUS,United Kingdom,UKG
