year,stateA,stateB,totalStateA,totalStateB,totalsmoth,importance
1870.0,220.0,255.0,1138.3533935,991.0200195,41.559998,0.03650887170654356
1877.0,365.0,640.0,606.1300049,142.5,5.79,0.009552406172262072
1884.0,220.0,710.0,1462.2599487000002,189.56999969,17.560001,0.012008809388242801
1885.0,220.0,710.0,1385.2299805,197.75000004999998,12.67,0.009146495656574478
1893.0,710.0,740.0,257.2600022,171.125,31.799999,0.12361035033840174
1897.0,350.0,640.0,38.00383854,172.727272,3.1800001,0.01841052697225485
1898.0,2.0,230.0,1933.0,188.51850895,21.699999,0.011226072943610967
1900.0,710.0,740.0,276.1194077,252.6570054,33.59,0.12165026819300975
1900.0,365.0,710.0,772.796051,276.1194077,12.429999,0.016084449427394912
1900.0,200.0,710.0,3055.0,276.1194077,38.23,0.012513911620294598
1900.0,2.0,710.0,2283.6299439,276.1194077,28.579998,0.012515161695239847
1904.0,365.0,740.0,836.8686828,357.2864227,1.01,0.0012068799093075586
1909.0,230.0,600.0,336.25,19.238095285,2.5599998999999998,0.007613382602230483
1911.0,325.0,640.0,1076.7469482,339.240921,32.789997,0.030452834860423897
1911.0,345.0,640.0,45.22417259,339.240921,2.98,0.008784317620691756
1912.0,345.0,355.0,37.109375,72.78106308,0.44,0.006045528622141143
1912.0,350.0,640.0,59.375,328.37998960000004,2.8,0.008526707134045172
1912.0,255.0,345.0,4676.428467,37.109375,9.5600004,0.002044295228177175
1912.0,300.0,345.0,1268.3467408,37.109375,16.379998999999998,0.012914448764750591
1912.0,355.0,640.0,72.78106308,328.37998960000004,6.02,0.01833242033819712
1913.0,255.0,350.0,4972.638428,58.1084156,4.9699998,0.0009994693706292534
1913.0,200.0,355.0,5922.110108,71.16466522,4.670000099999999,0.0007885702924860241
1913.0,2.0,255.0,4276.5999759999995,4972.638428,590.22998,0.11869553528696657
1913.0,350.0,355.0,58.1084156,71.16466522,0.91000003,0.012787245287908065
1913.0,355.0,360.0,71.16466522,246.65635679999997,1.9399998999999999,0.007865193199026444
1913.0,355.0,640.0,71.16466522,290.90908809999996,1.98,0.006806250065722853
1913.0,200.0,300.0,5922.110108,1240.3614502,57.919998,0.009780297384501112
1913.0,220.0,300.0,2951.388916,1240.3614502,31.959999,0.010828799561704391
1913.0,2.0,300.0,4276.5999759999995,1240.3614502,41.32,0.009661880987673654
1913.0,220.0,355.0,2951.388916,71.16466522,3.3700001000000004,0.0011418353175112353
1913.0,300.0,360.0,1240.3614502,246.65635679999997,45.139998999999996,0.03639261683981026
1913.0,255.0,360.0,4972.638428,246.65635679999997,55.970001,0.011255594351047797
