yperiod,totalcountCouWars,totalSumTrade
"[1870, 1883]",30,31514
"[1884, 1896]",10,32351
"[1897, 1909]",22,52250
"[1910, 1922]",100,71235
"[1923, 1935]",20,131540
"[1936, 1948]",125,86804
"[1949, 1961]",77,492395
"[1962, 1974]",92,1556635
"[1975, 1987]",54,8364698
"[1988, 2003]",35,35411121
