warnum,disno,dyindex,statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,changes_1,changes_2,batdths,durindx,a_latitude,a_longitude,b_latitude,b_longitude
10,19,19.003,300,337,4,9,1848,7,24,1848,1848,3,2,3,1,1,3927,100,7,,4027,1,46.35038755,19.13865633,43.4586541,11.1389204
10,19,19.003,337,300,4,9,1848,7,24,1848,1848,2,3,1,3,3,100,3927,7,,4027,1,43.4586541,11.1389204,46.35038755,19.13865633
13,375,375.003,255,390,4,10,1848,7,10,1849,1848,1,3,1,3,2,2500,3500,,,6000,2,51.0834196,10.4234469,55.670249,10.3333283
13,375,375.003,255,390,4,10,1848,7,10,1849,1849,1,3,1,3,2,2500,3500,,,6000,1,51.0834196,10.4234469,55.670249,10.3333283
13,375,375.003,390,255,4,10,1848,7,10,1849,1848,3,1,3,1,2,3500,2500,,,6000,1,55.670249,10.3333283,51.0834196,10.4234469
13,375,375.003,390,255,4,10,1848,7,10,1849,1849,3,1,3,1,2,3500,2500,,,6000,2,55.670249,10.3333283,51.0834196,10.4234469
16,175,175.001,220,327,4,30,1849,7,2,1849,1849,1,3,1,3,1,1000,1400,,,2400,1,46.603354,1.8883335,38.7812256,-90.2723946
16,175,175.001,327,220,4,30,1849,7,2,1849,1849,3,1,3,1,3,1400,1000,,,2400,1,38.7812256,-90.2723946,46.603354,1.8883335
16,175,175.002,300,327,5,8,1849,7,2,1849,1849,2,3,1,3,1,100,1400,,,1500,1,46.35038755,19.13865633,38.7812256,-90.2723946
16,175,175.002,327,300,5,8,1849,7,2,1849,1849,3,2,3,1,3,1400,100,,,1500,1,38.7812256,-90.2723946,46.35038755,19.13865633
16,175,175.003,327,329,5,8,1849,7,2,1849,1849,3,2,3,1,3,1400,100,,,1500,1,38.7812256,-90.2723946,37.4922295,15.0704098
16,175,175.003,329,327,5,8,1849,7,2,1849,1849,2,3,1,3,1,100,1400,,,1500,1,37.4922295,15.0704098,38.7812256,-90.2723946
19,1528,1528.001,140,160,7,19,1851,2,3,1852,1851,1,3,1,3,1,500,800,,,1300,2,-10.3333333,-53.2,-34.9964963,-64.9672817
19,1528,1528.001,140,160,7,19,1851,2,3,1852,1852,1,3,1,3,1,500,800,,,1300,1,-10.3333333,-53.2,-34.9964963,-64.9672817
19,1528,1528.001,160,140,7,19,1851,2,3,1852,1851,3,1,3,1,3,800,500,,,1300,2,-34.9964963,-64.9672817,-10.3333333,-53.2
19,1528,1528.001,160,140,7,19,1851,2,3,1852,1852,3,1,3,1,3,800,500,,,1300,1,-34.9964963,-64.9672817,-10.3333333,-53.2
22,57,57.001,200,365,4,21,1854,2,1,1856,1854,2,3,1,3,1,22000,100000,,,122000,1,54.7023545,-3.2765753,64.6863136,97.7453061
22,57,57.001,200,365,4,21,1854,2,1,1856,1855,2,3,1,3,1,22000,100000,,,122000,3,54.7023545,-3.2765753,64.6863136,97.7453061
22,57,57.001,200,365,4,21,1854,2,1,1856,1856,2,3,1,3,1,22000,100000,,,122000,2,54.7023545,-3.2765753,64.6863136,97.7453061
22,57,57.001,365,200,4,21,1854,2,1,1856,1854,3,2,3,1,3,100000,22000,,,122000,1,64.6863136,97.7453061,54.7023545,-3.2765753
22,57,57.001,365,200,4,21,1854,2,1,1856,1855,3,2,3,1,3,100000,22000,,,122000,2,64.6863136,97.7453061,54.7023545,-3.2765753
22,57,57.001,365,200,4,21,1854,2,1,1856,1856,3,2,3,1,3,100000,22000,,,122000,3,64.6863136,97.7453061,54.7023545,-3.2765753
22,57,57.002,220,365,4,21,1854,3,1,1856,1854,2,3,1,3,1,95000,100000,,,195000,1,46.603354,1.8883335,64.6863136,97.7453061
22,57,57.002,220,365,4,21,1854,3,1,1856,1855,2,3,1,3,1,95000,100000,,,195000,3,46.603354,1.8883335,64.6863136,97.7453061
22,57,57.002,220,365,4,21,1854,3,1,1856,1856,2,3,1,3,1,95000,100000,,,195000,2,46.603354,1.8883335,64.6863136,97.7453061
