country_name,country_abv,value
China,CHN,5337731
France,FRA,1233344
Germany,GER,2621429
India,IND,778246
Italy,ITA,972634
Japan,JAP,1502396
Korea,KOR,1098165
Russia,RUS,783458
United Kingdom,UKG,1114862
United States of America,USA,3968606
